Step,Temp,E_pair,TotEng,Press
25800,2675.2269,-2191.8689,-2015.165,-5056.6623
25900,2530.6792,-2179.4107,-2012.2544,972.92266
26000,2441.8523,-2185.8441,-2024.555,-1559.536
26100,2712.5799,-2190.1611,-2010.9899,-8564.0002
26200,2477.0163,-2183.7178,-2020.1061,-2210.797
26300,2550.8272,-2203.5486,-2035.0615,-6194.6223
26400,2715.2067,-2182.5176,-2003.1729,-121.97586
26500,2731.8752,-2171.0591,-1990.6135,133.06092
26600,2713.3971,-2185.5897,-2006.3646,10131.206
26700,2708.5384,-2183.3773,-2004.4731,-5607.1159
26800,2708.1277,-2175.7224,-1996.8453,-1841.8314
26900,2602.0431,-2197.607,-2025.737,1575.317
27000,2633.1031,-2162.5758,-1988.6543,-6547.417
27100,2715.8144,-2182.8714,-2003.4866,1441.0353
27200,2698.4657,-2195.1886,-2016.9497,-499.69928
27300,2837.5406,-2166.1089,-1978.6839,-5330.8557
27400,2626.0533,-2177.4357,-2003.9798,2659.9236
27500,2806.9888,-2169.9062,-1984.4992,-1961.2451
27600,2963.4724,-2162.9798,-1967.2367,15657.461
27700,2838.4326,-2180.7098,-1993.2258,2219.2124
27800,2680.6887,-2172.3456,-1995.2809,-10551.833
27900,2673.6534,-2168.6754,-1992.0754,-6631.7754
28000,2836.5203,-2167.9735,-1980.6159,-10583.625
28100,2992.2037,-2166.7257,-1969.0849,9114.9178
28200,2915.5786,-2157.6001,-1965.0205,-3286.9637
28300,2810.4873,-2172.2283,-1986.5902,7335.3615
28400,2832.0136,-2142.1968,-1955.1369,-287.15863
28500,2806.2267,-2158.606,-1973.2493,-7025.8771
28600,2851.4852,-2166.1244,-1977.7783,-2735.7273
28700,2824.7022,-2163.8286,-1977.2515,2951.1249
28800,2737.2122,-2152.5893,-1971.7912,-4233.0961
28900,3086.8059,-2139.9555,-1936.066,5557.7583
29000,3082.3533,-2154.721,-1951.1256,11088.971
29100,2935.3667,-2165.7824,-1971.8958,-11289.748
29200,2830.801,-2156.0996,-1969.1197,-2120.7648
29300,3242.0231,-2157.4355,-1943.2936,-914.40201
29400,2883.4172,-2174.3594,-1983.9041,10711.096
29500,3025.6613,-2145.3466,-1945.4959,2011.3871
29600,2955.981,-2149.667,-1954.4187,-5506.6506
29700,2939.9218,-2166.5727,-1972.3851,841.73759
29800,3059.8005,-2159.3106,-1957.2049,6924.7651
29900,2805.2053,-2155.4433,-1970.154,1131.7851
30000,3192.6309,-2142.306,-1931.4266,-7502.6387
30100,2900.4954,-2136.2017,-1944.6183,-11507.619
30200,3249.6438,-2141.9563,-1927.3111,3077.7661
30300,2800.5997,-2151.0414,-1966.0564,7893.2582
30400,2960.4186,-2127.8783,-1932.3369,-17829.341
30500,3021.7502,-2138.1391,-1938.5467,3343.9533
30600,2935.7159,-2144.3077,-1950.3979,2407.8145
30700,3314.691,-2141.079,-1922.1373,-3748.099
30800,3047.9481,-2150.892,-1949.5691,-2597.7928
30900,3108.8105,-2157.2004,-1951.8575,-658.63311
31000,3087.9256,-2140.6453,-1936.6819,8648.7397
31100,3059.4807,-2136.2046,-1934.12,3836.0017
31200,3050.1268,-2135.4005,-1933.9337,-10227.788
31300,3091.1321,-2131.7186,-1927.5433,-5903.1543
31400,3169.3398,-2121.6157,-1912.2747,12350.746
31500,3166.3052,-2152.8236,-1943.683,-2055.1792
31600,3118.9519,-2136.8339,-1930.8211,1962.6148
31700,3247.5476,-2123.2126,-1908.7058,5938.8432
31800,3152.0516,-2124.9426,-1916.7435,4797.4833
31900,3093.816,-2135.236,-1930.8835,-8694.8968
32000,2959.9293,-2126.439,-1930.9299,7166.158
32100,3451.1347,-2131.7536,-1903.7995,5010.0119
32200,3335.4331,-2132.4706,-1912.1587,46.15369
32300,3168.3575,-2112.3527,-1903.0765,-2311.866
32400,3166.7664,-2131.4791,-1922.308,-2243.6705
32500,3411.5075,-2121.8923,-1896.5557,338.1185
32600,3360.4111,-2130.0888,-1908.1271,7469.4364
32700,3447.9265,-2143.945,-1916.2028,-2210.4888
32800,3331.4615,-2129.6969,-1909.6474,2647.1613
32900,3362.7852,-2142.7073,-1920.5888,1160.8863
33000,3236.2868,-2125.1199,-1911.3569,10366.463
33100,3242.7459,-2118.7291,-1904.5394,2820.9514
33200,3402.3703,-2121.8077,-1897.0746,-4130.1409
33300,3226.9125,-2130.0976,-1916.9538,-115.96892
33400,3294.7311,-2114.8501,-1897.2268,-5857.2385
33500,3285.3355,-2110.0395,-1893.0367,2667.7902
33600,3466.6305,-2132.7687,-1903.791,3533.3385
33700,3310.7814,-2117.0526,-1898.3691,302.75122
